Age,Gender,Faculty,Housing_Arrangement,Main_Income_Source,Monthly_Income,Organised_Money_Management,More_of_a_Saver_Than_a_Spender,Prefer_to_Buy_on_Credit,Savings_for_Rainy_Day,Prefer_to_Live_for_Today,Compare_Prices_Before_Buying,Read_Agreement_Carefully,Avoid_Overspending,Money_Management_Difficulty,Monthly_Savings,Increase_Financial_Knowledge,Complaint_for_Unsuitable_Product
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,3,4,3,3,2,Yes,Yes,Sometimes,Always,Sometimes,Never,Sometimes
21,Male,FSDK,Off-campus rent (sharing house/flat),Scholarship,RM 100 - RM 500,1,1,5,1,2,Yes,Yes,Always,Always,Always,Sometimes,Always
18,Female,FSDK,On-campus (student accommodation),Other family members,Below RM 99,4,3,3,4,3,Yes,Yes,Always,Sometimes,Sometimes,Sometimes,Always
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,5,1,5,5,1,Yes,Yes,Always,Sometimes,Sometimes,Never,Never
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,1,1,1,1,5,Yes,Yes,Always,Never,Always,Always,Sometimes
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,1,3,5,1,3,Yes,Yes,Always,Sometimes,Sometimes,Sometimes,Always
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,Above RM 600,4,5,2,1,3,Yes,Yes,Always,Sometimes,Always,Never,Sometimes
21,Male,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,Below RM 99,4,3,4,3,4,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,4,5,3,2,2,Yes,Yes,Never,Sometimes,Sometimes,Sometimes,Always
21,Male,FSDK,On-campus (student accommodation),Pocket money from parents,RM 100 - RM 500,2,2,5,2,2,Yes,Yes,Always,Always,Sometimes,Sometimes,Always
21,Female,FSDK,Off-campus rent (sharing house/flat),A part time job,Above RM 600,1,2,5,1,5,Yes,Yes,Always,Never,Always,Always,Sometimes
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,3,4,3,2,4,Yes,Yes,Always,Sometimes,Sometimes,Sometimes,Always
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,2,2,1,1,3,Yes,Yes,Sometimes,Always,Always,Sometimes,Never
21,Male,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,Above RM 600,1,1,1,1,1,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
21,Female,FHPK,Live with parents/relatives,Pocket money from parents,RM 100 - RM 500,3,4,3,2,3,Yes,Yes,Sometimes,Always,Sometimes,Sometimes,Never
21,Female,FSDK,Off-campus (own),Pocket money from parents,RM 100 - RM 500,2,3,3,2,2,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Always
21,Female,FKP,Off-campus rent (sharing house/flat),Scholarship,Below RM 99,3,5,3,2,4,Yes,Yes,Always,Sometimes,Sometimes,Sometimes,Never
21,Female,FSDK,Live with parents/relatives,Other,Below RM 99,3,3,3,2,4,Yes,Yes,Sometimes,Never,Never,Sometimes,Always
21,Female,FSDK,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,4,4,3,1,3,Yes,Yes,Always,Sometimes,Sometimes,Sometimes,Always
21,Female,FSDK,Live with parents/relatives,Pocket money from parents,Above RM 600,3,3,3,3,4,Yes,Yes,Sometimes,Sometimes,Always,Never,Never
21,Female,FHPK,Off-campus rent (sharing house/flat),Pocket money from parents,Below RM 99,4,4,4,4,4,Yes,Yes,Always,Sometimes,Always,Always,Always
21,Male,FSDK,Off-campus rent (sharing house/flat),Scholarship,RM 100 - RM 500,4,5,1,5,2,Yes,Yes,Always,Sometimes,Never,Always,Sometimes
21,Female,FKP,Live with parents/relatives,Pocket money from parents,RM 100 - RM 500,1,1,5,1,1,Yes,Yes,Always,Never,Always,Always,Always
21,Female,FKP,Off-campus rent (sharing house/flat),Pocket money from parents,RM 100 - RM 500,1,2,2,2,2,Yes,Yes,Sometimes,Sometimes,Always,Sometimes,Never
